abc,Petrol pump id,lat,lng,wait_time,name,address,phoneNumber,openingHours
0,1,37.7739233,-122.4373049,11.46287243589750,Arco,1175 Fell St,14154313515,Mon-Sun: 24 Hours
1,2,37.7737809,-122.437817,12.240438888888900,76,443 Divisadero St,14155526665,Mon-Sun: 24 Hours
2,3,37.7734016,-122.4371386,10.639400000000000,Shell (Discount Available),1070 Oak St,14158643231,Mon-Sun: 24 Hours
3,4,37.7732056,-122.4456211,6.1592,Chevron,1698 Fell St,14159218188,Mon-Sun: 24 Hours
4,5,37.7884261,-122.4357792,5.174295343137250,California Shell,2501 California St,14155676512,Mon-Sun: 24 Hours
5,6,37.7815593,-122.4518482,2.255058333333340,Shell Car Wash,3035 Geary Blvd,14157524171,Mon-Sun: 24 Hours
6,7,37.7888635,-122.4358379,5.458582456140350,Chevron,2500 California St,14155671136,Mon-Sun: 24 Hours
7,8,37.781907,-122.422712,7.068046969696950,Shell,800 Turk St,14154404298,Mon-Sun: 24 Hours
8,9,37.7809425,-122.4585426,5.73738397435900,Chevron,3675 Geary Blvd,14153879961,Mon-Sun: 24 Hours
9,10,37.7858969,-122.4588755,6.92500119047620,Exxon,3898 California St,14157520646,Mon-Sun: 07:00-22:00
10,11,37.7629642,-122.4354246,8.122943750000000,Rc Gas At Market And Castro,376 Castro St,14155521188,Mon-Sun: 24 Hours
11,12,37.789594,-122.4226055,6.555259615384600,Chevron,1501 Van Ness Ave,14154413518,Mon-Sun: 24 Hours
12,13,37.7626778,-122.4346687,7.602331666666650,Chevron,2399 Market St,14156212570,Mon-Sun: 24 Hours
13,14,37.7851612,-122.4621526,11.818058333333400,California Auto Service,4135 California St,14153878666,
14,15,37.7718771,-122.4187192,8.879142708333350,Chevron,1601 Mission St,14155589274,Mon-Sun: 24 Hours
15,16,37.7684839,-122.4203391,13.045773148148200,Arco,1798 Mission St,14154371947,Mon-Sun: 24 Hours
16,17,37.7985863,-122.444563,6.743858333333350,Valero 7262,2601 Lombard St,14159211132,Mon-Sun: 24 Hours
17,18,37.764493,-122.4243105,10.417291025641000,Guerrero Shell,400 Guerrero St,14155520707,Mon-Sun: 24 Hours
18,19,37.7992809,-122.4424261,10.702391666666700,Union 76,2498 Lombard St,14159314040,Mon-Sun: 24 Hours
19,20,37.7806589,-122.4676987,6.42803928571430,Richmond Shell,4501 Geary Blvd,14152210424,Mon-Sun: 24 Hours
20,21,37.800695,-122.431447,12.41610677083340,Shell,1800 Lombard St,14153468063,Mon-Sun: 24 Hours
21,22,37.8007585,-122.4309716,12.281726282051300,Chevron,1790 Lombard St,14159224922,Mon-Sun: 24 Hours
22,23,37.7649997,-122.4172497,13.767654166666700,Chevron,501 S Van Ness Ave,14158636347,Mon-Sun: 24 Hours
23,24,37.765748,-122.464514,8.224909259259250,Shell,601 Lincoln Way,14155046692,Mon-Sun: 24 Hours
24,25,37.7637706,-122.4170849,7.630741666666650,Mission Gas And Shop,599 S Van Ness Ave,14158636835,Mon-Sun: 24 Hours
25,26,37.7809668,-122.4715588,9.308512878787900,7-Eleven,4850 Geary Blvd,14152215164,Mon-Sun: 24 Hours
26,27,37.7734071,-122.4084635,10.48469880952380,Shell,1201 Harrison St,14156215542,Mon-Sun: 24 Hours
27,28,37.7773016,-122.4046474,6.79401563,Chevron,1000 Harrison St,14158633001,Mon-Sun: 24 Hours
28,29,37.7799553,-122.403308,6.259008333333350,Shell,300 5Th St,14159741088,Mon-Sun: 24 Hours
29,30,37.7647896,-122.4077385,13.626579166666700,Shell,388 Potrero Ave,14156264238,Mon-Sun: 24 Hours
30,31,37.7643926,-122.4070824,5.898238333333350,76,401 Potrero Ave,14158636043,Mon-Sun: 24 Hours
31,32,37.7523302,-122.4209538,11.493997222222200,Union 76,1298 Valencia St,14158245622,"Mon-Wed: 07:00-22:00, Thu: 07:00-24:00, Fri-Sun: 07:00-22:00"
32,33,37.765136,-122.477038,3.58431,Loop,1200 19Th Ave,14156612276,Mon-Sun: 24 Hours
33,34,37.8056112,-122.4150181,9.4899938,76,490 Bay St,14157717730,Mon-Sun: 24 Hours
34,35,37.7638351,-122.4769102,9.167860416666650,Chevron,1288 19Th Ave,14157311044,Mon-Sun: 24 Hours
